MCU问题单号,问题描述,进展,根因,对策,车族,车型,电驱代号,管理平台,问题类别,问题解析报告,问题解析附件,车辆类型,仪表指示灯,故障DTC,故障工况,故障时刻
SW-H97A-金康-001,母线过压导致动力中断，故障清除以后，车辆恢复正常,,电压采样干扰触发硬件过压,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|底层,https://hav4xarv6k.feishu.cn/file/YFexb1Vnxou4FPxbmQqcNxkMnjb?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/VRRVfDAJ2lKAQFdvgGNcTqAvnFd?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯",P161517,平稳驾驶,
SW-H97A-金康-002,功率受限，100km/h减速到40km/h再加速时，加速无力,,工况超范围，IGBT过温,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|应用层,http://无,无,试验车,"电机故障黄灯, 电机过温故障灯",P0A3C98,平稳驾驶,
SW-H97A-金康-003,前电机故障，无法行驶,同DFH-H97-SW-SY-0734,EEPROM异常,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|底层,http://无,无,试验车,动力系统故障红灯,NA,车辆启动,
SW-H97A-金康-004,车辆正常行驶突发动力丢失,,EEPROM异常,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|底层,https://hav4xarv6k.feishu.cn/file/RkQgblJtjoNYqIxwhdVcLkxBnMd,https://hav4xarv6k.feishu.cn/drive/folder/Lmhqfxng9lVKxhdflhncVFItngg?from=from_copylink,试验车,动力系统故障红灯,NA,车辆启动,
SW-H97A-金康-005,车辆动力频繁丢失,同DFH-H97-SW-SY-0734,EEPROM异常,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|底层,http://无,无,试验车,动力系统故障红灯,NA,平稳驾驶,
SW-H97A-金康-006,倒车时发动机排放故障指示灯ML常亮,,超速阈值设置不合理,超速阈值调整,H97系列,H97A-REV-400V,L255,金康400V,软件|应用层,http://无,无,试验车,动力系统故障黄灯,P161437,平稳驾驶,
SW-H56A-L160A-001,STP2有错误帧，所有控制器节点不在线,,更换CAN芯片后软件参数配置错误,,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/file/GQqDb3d3Pouy4XxmsBccc0Ecn3e,https://hav4xarv6k.feishu.cn/drive/folder/Kz10fvUS2l1KkDdyBoIcEPnWnrh?from=from_copylink,试验车,动力系统故障红灯,U162087,车辆启动,
SW-H56A-L160A-002,突然断高压，车辆趴窝，拔插蓄电池仍然无法恢复,,铜排螺栓未打紧,单件问题，更换MCU,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,制造|工艺,https://hav4xarv6k.feishu.cn/file/GBkEbV5KAor7JcxaebRcEqxWnlh,https://hav4xarv6k.feishu.cn/drive/folder/HwFUf24xzlc1qyd4obFc01TNnzf?from=from_copylink,试验车,"电机故障红灯, 动力系统故障红灯","P161209,P162209",激烈驾驶,
SW-H56A-L160A-003,坡道起步车辆动力不足，并伴有“咚咚”异响,,0欧电阻，偶发旋变故障,,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,硬件|高压侧,https://hav4xarv6k.feishu.cn/file/ETLpbQLI0ofuGAxDwlycp7GtnEh,https://hav4xarv6k.feishu.cn/drive/folder/SzjifWgfhlxV1MdRCTGczopgnuc?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯",P0A3F09,车辆启动,
SW-H531-L160A-001,6#改制车前电机绝缘阻值低,,"三合一EOL测试台架正/负极对机壳之间有268V/265V的交流电压（3.3kHz），存在异常,该异常可能会导致Y电容异常过温，导致Y电容破损。在供应商处制作特殊样件：1. 鹰峰制作Y电容特殊样件，在内部放置热电偶2. 在母线电容壳体粘贴热电偶，将试验样件上带有异常交流电的台架进行测试，故障复现，与现场故障现象相同。 此处H53电机故障现象与H56故障电机现象相同，此根本原因调查为H56调查所得。",,H53系列,H531-PHEV-400V,L160C,智新控制400V-ID2,制造|工艺,https://hav4xarv6k.feishu.cn/file/WN7eb1xv9oEsjzxWklWc9EDbnJc,https://hav4xarv6k.feishu.cn/drive/folder/BaVwfdp04lxtMCd4Ar5cbwKEnHe?from=from_copylink,试验车,无,NA,无法确认故障工况,
